URL,Title,Release Year,Genre,IMDB Rating,Age Rating,Platforms,Runtime,Production Country
https://www.justwatch.com/in/tv-show/the-last-of-us,The Last of Us,2023,"Drama, Action & Adventure, Horror, Science-Fiction, Mystery & Thriller,Video Game",8.6(655k),A,"Netflix, Prime Video",56min,
https://www.justwatch.com/in/tv-show/khauf,Khauf,2025,"Drama, Horror,Bollywood",7.5(3k),A,"Netflix, Prime Video, Hotstar",48min,
https://www.justwatch.com/in/tv-show/el-eternauta,The Eternaut,2025,"Drama, Science-Fiction,Action Adventure",7.5(19k),Not Available,"Netflix, Prime Video, Hotstar",54min,
https://www.justwatch.com/in/tv-show/weak-hero,Weak Hero,2022,"Drama, Mystery & Thriller,Action Adventure",8.4(15k),Not Available,"Netflix, Prime Video, Hotstar",41min,
https://www.justwatch.com/in/tv-show/from,From,2022,"Drama, Horror, Science-Fiction,Mystery Thriller",7.8(142k),Not Available,"Netflix, Prime Video, Hotstar",51min,
https://www.justwatch.com/in/tv-show/solo-leveling-2024,Solo Leveling,2024,"Action & Adventure, Science-Fiction, Animation, Fantasy,Classic Japanese Anime",8.6(76k),Not Available,"Netflix, Prime Video",24min,
https://www.justwatch.com/in/tv-show/gram-chikitsalay,Gram Chikitsalay,2025,"Comedy, Drama,Dramedy",7.2(2k),Not Available,"Netflix, Prime Video",Not Available,
https://www.justwatch.com/in/tv-show/adolescence-2025,Adolescence,2025,"Crime, Drama, Mystery & Thriller,Dark Crime",8.2(192k),UA,"Netflix, Prime Video, Hotstar",57min,
https://www.justwatch.com/in/tv-show/farzi,Farzi,2023,"Crime, Drama, Mystery & Thriller,Bollywood",8.3(50k),Not Available,"Netflix, Hotstar",56min,
https://www.justwatch.com/in/tv-show/mobland,MobLand,2025,"Crime, Drama,Psychological Drama",8.4(19k),Not Available,"Netflix, Prime Video, Hotstar",45min,
https://www.justwatch.com/in/tv-show/the-day-of-the-jackal,The Day of the Jackal,2024,"Drama, Mystery & Thriller, Crime,Action Adventure",8.1(98k),Not Available,"Netflix, Prime Video",51min,
https://www.justwatch.com/in/tv-show/suzhal-the-vortex,Suzhal - The Vortex,2022,"Crime, Drama, Fantasy,Mystery Thriller",8.1(10k),Not Available,"Netflix, Prime Video",46min,
https://www.justwatch.com/in/tv-show/daredevil-born-again,Daredevil: Born Again,2025,"Drama, Fantasy, Science-Fiction, Mystery & Thriller, Crime,Action Adventure",8.1(61k),Not Available,"Netflix, Prime Video",48min,
https://www.justwatch.com/in/tv-show/jack-reacher,Reacher,2022,"Drama, Crime, Mystery & Thriller,Action Adventure,Action Thriller",8.0(263k),A,"Netflix, Prime Video, Hotstar",49min,
https://www.justwatch.com/in/tv-show/andor,Andor,2022,"Science-Fiction, Drama, Fantasy, Mystery & Thriller,Action Adventure",8.4(200k),Not Available,"Netflix, Prime Video, Hotstar",48min,
https://www.justwatch.com/in/tv-show/the-four-seasons,The Four Seasons,2025,"Comedy, Romance,RomCom",7.2(14k),UA,"Netflix, Prime Video",32min,
https://www.justwatch.com/in/tv-show/the-studio,The Studio,2025,"Comedy, Drama,Raunchy Comedy",8.0(14k),A,"Netflix, Prime Video, Hotstar",30min,
https://www.justwatch.com/in/tv-show/wind-breaker,Wind Breaker,2024,"Animation, Action & Adventure, Comedy,Classic Japanese Anime",7.5(6k),Not Available,"Netflix, Prime Video, Hotstar",23min,
https://www.justwatch.com/in/tv-show/severance,Severance,2022,"Drama, Science-Fiction,Psychological Drama,Mystery Thriller",8.7(316k),A,"Netflix, Prime Video, Hotstar",49min,
https://www.justwatch.com/in/tv-show/laughter-chefs-unlimited-entertainment,Laughter Chefs Unlimited Entertainment,2024,"Comedy, Reality TV, Kids & Family,Bollywood",8.7,Not Available,Netflix,1h 11min,
https://www.justwatch.com/in/tv-show/the-rain-in-espana,The Rain in España,2023,"Drama, Comedy, Romance,Dramedy",7.0(1k),Not Available,"Netflix, Prime Video",50min,
https://www.justwatch.com/in/tv-show/the-pitt,The Pitt,2025,"Drama,Emotional Drama,Action Adventure",8.9(46k),Not Available,"Netflix, Prime Video, Hotstar",48min,
https://www.justwatch.com/in/tv-show/black-white-and-gray-love-kills,"Black, White & Gray: Love Kills",2025,"Mystery & Thriller, Crime,Dark Crime",8.1,Not Available,"Netflix, Prime Video",Not Available,
https://www.justwatch.com/in/tv-show/the-devils-plan,The Devil's Plan,2023,,8.3(4k),Not Available,"Netflix, Prime Video",1h 18min,
https://www.justwatch.com/in/tv-show/the-walking-dead-dead-city,The Walking Dead: Dead City,2023,"Science-Fiction, Drama, Horror, Mystery & Thriller",7.1(28k),Not Available,"Netflix, Prime Video",44min,
https://www.justwatch.com/in/tv-show/high-potential,High Potential,2024,"Drama, Crime,Dark Crime,Mystery Thriller",7.6(28k),Not Available,"Netflix, Prime Video",43min,
https://www.justwatch.com/in/tv-show/your-friends-and-neighbors,Your Friends & Neighbors,2025,"Drama,Psychological Drama",7.8(8k),A,"Netflix, Prime Video",50min,
https://www.justwatch.com/in/tv-show/ayyana-mane,Ayyana Mane,2025,,7.3,UA,"Netflix, Prime Video, Hotstar",Not Available,
https://www.justwatch.com/in/tv-show/wednesday,Wednesday,2022,"Science-Fiction, Mystery & Thriller, Comedy, Crime, Fantasy,Live Action",8.0(416k),Not Available,"Netflix, Prime Video, Hotstar",49min,
https://www.justwatch.com/in/tv-show/dying-for-sex,Dying for Sex,2025,"Comedy, Drama,Emotional Drama",7.5(5k),Not Available,"Netflix, Prime Video",31min,
https://www.justwatch.com/in/tv-show/campus-beats,Campus Beats,2023,"Drama,Romantic Drama",7.1,Not Available,"Netflix, Prime Video, Hotstar",30min,
https://www.justwatch.com/in/tv-show/etoile,Étoile,2025,"Drama, Comedy,Emotional Drama",7.5(2k),Not Available,"Netflix, Prime Video, Hotstar",1h 1min,
https://www.justwatch.com/in/tv-show/landman,Landman,2024,"Drama,Emotional Drama",8.2(55k),Not Available,"Netflix, Prime Video, Hotstar",55min,
https://www.justwatch.com/in/tv-show/the-agency,The Agency: Central Intelligence,2024,"Drama,Mystery Thriller",7.4(20k),Not Available,"Netflix, Prime Video",50min,
https://www.justwatch.com/in/tv-show/octopus,Octopus!,2025,,7.4,Not Available,"Netflix, Prime Video, Hotstar",40min,
https://www.justwatch.com/in/tv-show/house-of-the-dragon,House of the Dragon,2022,"Science-Fiction, Action & Adventure, Drama, Fantasy, Romance",8.3(476k),A,"Netflix, Prime Video",1h 3min,
https://www.justwatch.com/in/tv-show/the-narrow-road-to-the-deep-north,The Narrow Road to the Deep North,2025,"Romance, War & Military, Drama,Romantic Drama",7.2(1k),Not Available,Netflix,43min,
https://www.justwatch.com/in/tv-show/sapne-vs-everyone,Sapne Vs Everyone,2023,Drama,9.3(73k),Not Available,"Netflix, Prime Video",1h 9min,
